업종,업소명,대표자,시/도,시/군/구,주소(도로명 새주소 명기),변경후 연락처,대표품목, 변경후 가격(원),가격부가설명,영업시간,배달가능여부,주차가능여부
한식,여미지참숯 숯불구이,김홍민,서울,강남구,(개포4동)논현로8길 11,02-571-1250,김치찌개,5000,,10:30~20:30,Y,Y
한식,노숙자 샤브샤브,노숙자,서울,강남구,(개포4동)개포로22길 13 ,02-577-5017,김치찌개,5000,,11:00~22:00,N,Y
한식,다복오리농장,조춘행,서울,강남구,(개포4동)개포로22길 31,02-573-2057,칼국수,6000,,10:00~22:00,N,Y
한식,형제식당,유기준,서울,강남구,(개포1동)개포로 310 ,02-577-4122,김치찌개방문,5000,,09:00~20:30,Y,Y
한식,믿음식당,김종삼,서울,강남구,(개포1동)개포로 310 ,02-576-2206,된장찌개,5000,,09:00~21:00,N,Y
한식,찌개와,백남산,서울,강남구,(수서동)광평로 280 ,02-3413-0709,김치찌개,6000,,09:00~22:00,N,Y
한식,부부식당,고석원,서울,강남구,(대치4동)삼성로 343,02-563-9241,김치찌개,4000,,11:00~20:00,N,Y
이미용업,선경헤어?,김영숙,서울,강남구,(대치1동)삼성로 151 ,02-566-3019,성인여자(컷),10000,,10:00~20:00,N,Y
한식,돌산식당,정태엽,서울,강남구,(대치1동)남부순환로 2917,02-566-0220,김치찌개,7000,,09:00~21:00,Y,Y
한식,한보식당,이상수,서울,강남구,(대치1동)남부순환로 2921,02-562-0276,김치찌개,5000,,07:00~20:00,Y,Y
한식,제일식당,손수덕,서울,강남구,(대치1동)남부순환로 2921,02-568-9367,김치찌개,5000,,11:00~21:00,N,Y
한식,오복냉면,김진우,서울,강남구,(대치4동)선릉로76길 21,02-501-6288,냉면,6000,,11:30~15:3017:00~23:30,N,N
한식,두꺼비,임재성,서울,강남구,(대치4동)역삼로 421,02-445-8742,선짓국,5000,,11:00~22:30,N,Y
한식,왕가네왕만두,이재문,서울,강남구,(대치4동)역삼로 420,02-555-0208,고기왕만두,4000,,07:30~22:30,Y,Y
한식,해피타임,이수아,서울,강남구,(대치4동)삼성로71길 34,02-567-5714,김치찌개,5500,,09:00~21:00,N,Y
한식,사천옥,김향기,서울,강남구,(대치4동)선릉로86길 16,02-539-1075,가정식백반,5500,,10:30~21:30,N,N
한식,명동칼국수,김용만,서울,강남구,(대치4동)선릉로64길 11-5,02-3453-3136,칼국수,5000,,11:30~19:30,N,Y
중식,중화요리일품,김해용,서울,강남구,(역삼2동)테헤란로 322,02-2183-1059,자장면,3500,,11:00~19:00,N,Y
경양식,돈까스리,이흥복,서울,강남구,(역삼2동)테헤란로 322,02-2183-0714,돈까스,5500,,11:00~21:00,N,Y
한식,청국장집,이무웅,서울,강남구,(도곡2동)논현로30길 36,02-572-3560,청국장,3500,,07:00~19:30,N,N
한식,청실식당,박상욱,서울,강남구,(대치1동)남부순환로 2917,02-568-3692,김치찌개,6000,,06:30~22:30,Y,Y
한식,삼성돈구이,이상엽,서울,강남구,(삼성1동)봉은사로108길 3-6,02-508-6994,김치찌개,7000,,11:00~22:00,N,N
한식,먹보한식,이일섭,서울,강남구,(삼성1동)영동대로112길 61,02-541-7665,된장찌개,6500,,06:00~14:30,N,N
한식,향나무집,배희직,서울,강남구,(삼성1동)봉은사로111길 7,02-511-3061,김치찌개,6000,,08:00~22:00,N,N
한식,여신김밥,박정희,서울,강남구,(대치4동)선릉로90길 70,02-501-0925,김치돌솥밥,6000,,07:00~21:00,N,Y
한식,보리수,양건양,서울,강남구,(대치2동)삼성로82길 25,02-564-7419,김치찌개,5000,,11:00~21:00,N,N
한식,영지식당,양영훈,서울,강남구,(대치2동)삼성로 212,02-565-1114,비빔밥,7000,,09:00~20:00,N,Y
한식,미러칼국수,지춘자,서울,강남구,(대치2동)삼성로 212,02-501-8748,칼국수,5000,,11:00~20:00,N,Y
한식,육판장,장유미,서울,강남구,(대치1동)삼성로 155,02-564-6254,된장찌개,6000,,11:00~21:00,N,Y
한식,장독묵은지,이영광,서울,강남구,(개포2동)삼성로 38,02-445-1444,김치찌개,6000,,11:00~24:00,N,Y
한식,개포골,김재열,서울,강남구,(개포2동)삼성로 38,02-445-4041,한식뷔페,6000,,10:00~21:00,N,Y
한식,강남김밥,정혜연,서울,강남구,(대치4동)도곡로 441 1층 4호,02-562-9335,야채김밥,3000,,11:00~20:00,Y,N
한식,강남분식,임옥경,서울,강남구,(역삼1동)강남대로96길 16,02-501-3982,김치찌개,3000,,11:00~20:00,N,N
한식,영동원삼겹살,강진원,서울,강남구,(논현1동)강남대로 520,02-541-5090,영동삼겹살(150g),5000,,24시간,N,N
한식,수미정,오영옥,서울,강남구,(역삼1동)강남대로84길 33,02-2050-0099,순두부찌개,5500,,10:00~20:00,N,Y
한식,고등어식당,송용숙,서울,강남구,(역삼1동)강남대로84길 33,02-2050-0095,고등어조림,6500,,09:00~21:00,N,Y
한식,바우골화로구이,곽혜영,서울,강남구,(역삼1동)강남대로92길 29,02-568-6721,김치찌개,6000,,10:00~06:00,N,N
한식,해드림찬까페,김지선,서울,강남구,(역삼1동)강남대로66길 14,02-539-3588,정지적배달,5000,,07:00~21:00,Y,Y
한식,숙아채 콩나물국밥 역삼점,김희정,서울,강남구,(역삼1동)도곡로7길 25,02-554-7490,콩나물국밥,4500,,06:00~22:00,N,N
한식,왕마포갈비,윤영례,서울,강남구,(삼성1동)영동대로114길 9 1F,02-546-6764,김치찌개,6000,,10:00~22:00,N,N
한식,양철집,이호민,서울,강남구,(압구정동)언주로153길16 1층,02-542-6689,된장찌개,6000,,11:00~23:30,N,Y
경양식,윤화돈까스 기사식당,김재임,서울,강남구,(역삼2동)도곡로221 1층,02-3463-0863,돈까스,7000,,09:30~22:00,N,Y
한식,황태명가,김행순,서울,강남구,(수서동)광평로 280,02-459-9989,김치돼지불백,6000,,10:30~22:00,N,Y
한식,처갓집,김상숙,서울,강남구,(개포4동)양재대로 339,02-573-6317,김치찌개,6000,,05:30~21:00,N,Y
한식,행복한밥상,주정철,서울,강남구,(역삼2동)테헤란로 310 두꺼비빌딩 지하1층,02-538-3323,행복한밥상,6000,,08:00~20:30,N,N
한식,한우정육점 식당,김만호,서울,강남구,(일원1동)일원로5길 24,02-445-6633,한우된장찌개,5000,,11:00~22:30,N,Y
기타양식,커피알,지승화,서울,강남구,(역삼2동)테헤란로 322 한신인터벨 지하156호,02-2183-2259,아메리카노,1000,,06:00~20:00,N,Y
한식,가득드림,김자희,서울,강남구,(삼성1동)영동대로 513 코엑스몰 M113호,02-551-8288,셀프도시락,7000,,07:30~21:30,Y,Y
한식,전주비빔밥,이영순,서울,강남구,(삼성1동)테헤란로87길 36 공항타워 지하1층14호,02-2016-5280,전주비빔밥,7000,,07:00~21:00,N,Y
중식,수타손짜장,황권식,서울,강남구,(일원2동)개포로 615 석탐프라자 지하1층,02-451-9763,손짜장,5000,,11:00~21:00,N,Y
일식,강진수산수산물직판장,최재연외3명,서울,강남구,(역삼2동)테헤란로52길6,02-562-1155,회덮밥,5500,,11:00~22:00,N,Y
한식,연풍옥,오제승,서울,강남구,(역삼1동)테헤란로27길 22,02-555-5786,황태국밥,7000,,11:00~23:00,N,N
한식,이모네분식,김경애,서울,강남구,(역삼1동)도곡로21길 15 상가1층 5호,02-567-2005,쫄면,5000,,07:00~20:00,N,N
한식,밀가칼국수,최경자,서울,강남구,(삼성1동)영동대로106길 33 화성빌딩 1F,02-566-5805,칼국수,7000,,11:00~22:00,N,Y
중식,만금성,최은순,서울,강남구,(도곡2동)언주로117 우성4차 상가지하,02-572-0015,짜장면,5500,,09:00~21:00,Y,N
한식,도곡양선지국밥,신순자,서울,강남구,(도곡1동)도곡로 172 1F,02-2057-0252,콩나물국밥,5000,,06:00~22:00,N,Y
한식,가로수길 칼국수,배금진,서울,강남구,(신사동)압구정로2길 46 강남상가 1F,02-512-6474,바지락칼국수,6000,,10:00~22:00,N,N
한식,영동우동,김현배,서울,강남구,(역삼1동)도곡로7길 28,02-555-6858,영동우동,4000,,10:00~22:00,N,N
한식,반색식당,우대윤,서울,강남구,(개포2동)선릉로6길 19 지상1층,070-4121-9923,가정식백반,6000,,06:00~20:00,N,Y
한식,강남 본 돼지갈비,유경숙,서울,강남구,"(개포4동)개포로22길 27, 두로빌딩 1층",02-575-3792,집밥육개장,5000,,11:00~24:00,N,Y
한식,누이네,원순임,서울,강남구,"(신사동)압구정로2길 46 강남상가 1F 3로, 40호",02-545-5195, 된장찌개 ,5000,,11:00~23:00,N,Y
중식,제네럴반점,민경임 ,서울,강남구,(삼성1동)영동대로 513 코엑스몰 L104,02-6002-1920,자장면,4900,,11:30~21:30,N,Y
한식,부옹성,이승경 ,서울,강남구,(압구정동)논현로154길 18 로사빌딩 1층,02-543-1778, 불고기비빔밥 ,6000,,09:00~21:00,N,Y
한식,만두랑,강형구,서울,강남구,(역삼1동)역삼로19길 29,02-557-9397,만두국,6500,,11:00~21:00,N,N
중식,행복한짬뽕,김지환,서울,강남구,(역삼1동)테혜란로13길 8-7 1층,02-566-0033, 유니짜장 ,4000,, 10:00~22:00 ,N,N
한식,대영식당, 조재숙 ,서울,강남구,(역삼1동)강남대로62길 30 대영빌딩 103호,02-566-1373,순두부찌개,4500,, 11:00~15:00 17:00~21:00  ,N,N
한식,고향한식부페, 김예형  , 서울 ,강남구,(역삼2동)논현로72길 20,02-3452-8050,한식부페,4000,, 11:00~15:00  ,N,Y
기타양식,커피팟, 최승율 , 서울 , 강남구 ,(대치1동)남부순환로 2942 B1,02-567-4695, 아메리카노 ,1000,,07:30~19:30,Y,Y
한식,역삼정,최순규,서울,강남구,(역삼1동)역삼로19길 31,02-539-7107,순두부찌개,6000,,10:30~22:30,N,Y
중식,예향,이성일,서울,강남구,(역삼1동)역삼로7길 3,02-539-4431, 짜장면 ,3500,,10:00~22:00,Y,N
기타양식,카페톡 역삼점,조석연,서울,강남구,(역삼2동)역삼로25길 35,, 아메리카노 ,1000,,08:00~18:00,N,Y
한식,예자네밥상,박예자,서울,강남구,(대치2동)테헤란로114길 30,02-553-4675, 김치찌개 ,7000,, 11:00~20:00 ,N,N
한식,김밥이랑 국수랑, 이선숙 ,서울,강남구,(도곡1동)강남대로 240,02-529-7577, 추억의도시락 ,5000,, 07:30~20:00 ,Y,Y
한식,황가네솥뚜껑삼겹살, 황미경 ,서울,강남구,(도곡2동)논현로30길 36,02-578-9043,순두부찌개,6000,, 09:30~21:30 ,N,Y
한식,더스푼, 김영숙 ,서울,강남구,(대치2동)역삼로 517,02-567-9889,한식부페,5500,, 11:00~13:00 ,N,Y
이미용업,M&M미용실, 신옥희 ,서울,강남구,(일원1동)일원로3길 10,02-3411-3727, 컷 ,7000,,09:00~20:00,N,Y
한식,강남제비,전병열,서울,강남구,(역삼1동)테헤란로25길 20,02-2192-3599,손수제비,5000,,11:30~14:30,N,N
한식,다복왕갈비탕함흥냉면,정성호,서울,강남구,(역삼1동)강남대로94길 91,02-557-1002,생삼겹살(200g),10000,,24시간(일요일휴무),N,N
한식,신의주찹쌀순대감자탕,김남숙,서울,강남구,(역삼1동)테헤란로27길 22,02-508-0799,순대국,6500,,24시간,N,Y
한식,전주콩나물국밥,임덕자,서울,강남구,(신사동)논현로151길 26,02-548-5848,콩나물국밥,5000,,07:00~17:00,N,N
한식,통큰생고기,윤찬길,서울,강남구,(논현2동)언주로136길 10,02-547-9434,생삼겹살(200g),9000,,11:00~22:00,N,Y
한식,석화촌,정미자,서울,강남구,(도곡1동)강남대로240 지하1층 113,02-573-5756,불고기덮밥,6000,,09:00~21:00,Y,Y
한식,소담,김미숙,서울,강남구,(일원2동)개포로 615 지하115호,02-3414-0010,순대국,6000,,09:30~23:00,N,Y
한식,오가네밥상,오경옥,서울,강남구,(수서동)광평로56길 8-13 지하1층,02-3411-0181,오늘의메뉴,6000,,08:00~23:00,Y,Y
한식,풍경한식,홍성원,서울,강남구,(수서동)광평로47길 17 지하1층 5호,02-3411-0005,김치찌개,5000,,06:00~20:30,Y,N
한식,시골애,박임식,서울,강남구,(일원1동)개포로 638 지하1층 102호,02-3411-1041,시골애청국장,6000,,05:30~21:30,N,Y
한식,전주식당,이효와,서울,강남구,(도곡1동)도곡로6길 6,02-577-2459,쌈밥정식(200g),6000,,11:30~21:00,N,N
한식,하하,이희권,서울,강남구,(신사동)논현로151길 24,02-546-2697,우동,5000,,09:00~21:00,N,N
한식,노다지,현인식,서울,강남구,(개포4동)개포로30길 6,02-573-1008,백반,6000,,07:00~21:00,N,Y
한식,대가,오정석,서울,강남구,(개포4동)개포로20길 26,02-529-1085,백반,6000,,11:00~22:00,N,Y
한식,서희네,김용현,서울,강남구,(개포4동)개포로22길 41,070-8151-7281,고등어구이,6000,,09:00~22:00,N,Y
이미용업,가나미용실,표종민,서울,강동구,양재대로 113길 14,02-488-0476,미용료(커트),5000,,오전8시~오후10시,,Y
이미용업,한마음미용실,이덕임,서울,강동구,진황도로 47-2,02-482-9649,미용료(커트),5000,,9시~21시,,N
한식,투가리,정승희,서울,강동구,양재대로 1389,02-476-6005,김치찌개,3500,,11시~22시,,N
한식,별미바지락칼국수,한순희,서울,강동구,풍성로 160,02-470-7393,열무국수,5000,,10~22,N,N
한식,모아분식,김인순,서울,강동구,천호대로 191길 6,02-484-7785,된장찌개,3000,,,Y,
이미용업,미스터미용실,박종애,서울,강동구,천호대로 162길 53,02-476-9374,파마,20000,,,N,
한식,학생회관분식,이정분,서울,강동구,구천면로404 11호,02-486-4062,물냉면,"4500, 4000","일반:4,500,원학생4,000 ",,,
한식,명가손칼국수,이태훈,서울,강동구,풍성로54길 44,02-547-4495,손칼국수,3000,,,,
한식,토속칼국수,이덕순,서울,강동구,양재대로113길 8,02-472-2293,들깨수제비,4500,,,,
이미용업,둔촌시장모범이발관,이석일,서울,강동구,강동구 풍성로58길 20,,이발,5000,,,,
이미용업,세아이용원,오찬근,서울,강동구,"올림픽로 80길 44,104호",,이발,5000,,,,
기타서비스업,쉼터기원,김영상,서울,강동구,"양재대로 1389, 3층",,기원,3000,,,,
한식,홍두께칼국수,홍종표,서울,강동구,천호대로 187길 59,,손칼국수,4000,,,,N
이미용업,별미용실,김귀자,서울,강북구,삼양로41길 17,02-983-0650,커트,5000,,9:00~19:00,N,N
이미용업,황진우미용실,황인학,서울,강북구,"솔샘로 167, 311호(미아동, 벽산라이브파크 상가동)",02-982-3950,커트,8000,,9:00~20:30,N,Y
이미용업,럭키미용실,최기연,서울,강북구,오패산로 273,02-986-2530,커트,6000,,10:00~20:00,N,N
이미용업,머리하는집,최정순,서울,강북구,오현로9길 132,02-985-0234,커트,7000,,9:30~19:30,N,N
이미용업,지영미용실,임성분,서울,강북구,도봉로18길 41,02-981-3588,커트,3000,,9:00~19:00,N,N
이미용업,예찬헤어샵,서정희,서울,강북구,인수봉로 132,02-988-3106,커트,8000,,9:00~21:00,N,Y
이미용업,한솔미용실,김운선,서울,강북구,노해로33길 24,02-904-2484,커트,7000,,10:00~22:00,N,N
한식,원조막국수,김옥향,서울,강북구,노해로 33길 42,02-991-5215,냉면(물),5000,,9:00~21:00,N,N
이미용업,선희미용실,박귀숙,서울,강북구,한천로139가길 21,02-992-1300,커트,8000,,9:30~21:00,N,N
이미용업,주헤어필,주둘남,서울,강북구,한천로144길 53,02-905-1588,커트,5000,,09:30~20:30,N,N
세탁업,재일세탁소,오용수,서울,강북구,삼양로113길 29,02-906-5161,양복세탁료,5000,,6:30~21:00,Y,N
세탁업,백양세탁소,홍성준,서울,강북구,인수봉로 251-1,02-997-9390,양복세탁료,5000,,8:00~22:00,Y,N
세탁업,명동세탁소 ,김정목,서울,강북구,인수봉로 79길 57,02-997-2861,양복세탁료,5000,,7:30~22:00,Y,N
한식,만미정 식당,김금자,서울,강북구,솔매로43길 96,02-983-8884,김치찌개백반,5000,,11:30~21:00,N,N
한식,콩아리(전주콩나물국밥),정영미,서울,강북구,월계로 43-1,02-985-5588,콩나물국밥,5000,,24시간,N,Y
한식,박가네생고기전문점,김은희,서울,강북구,덕릉로28길 63,02-982-2929,비빔밥,5000,,10:00~22:00,N,Y
한식,토종집(곤지암할매소머리국밥),이정애,서울,강북구,인수봉로95나길 32,02-981-3104,백숙(4인분),38000,,10:00~22:00,Y,Y
한식,지우정,길강문,서울,강북구,삼각산로 130,02-900-9333,한우등심(200g),15000,,9:00~22:00,N,Y
한식,우리순대국,정순자,서울,강북구,한천로139가길 25-1,02-900-8932,백반,5000,,7:00~20:00,N,N
한식,백곰집,오일석,서울,강북구,"삼양로 663, 1층",02-900-5130,한우해장국,6000,,11:00~23:00,N,N
한식,수유시골집,유성운,서울,강북구,도봉로 328 가든타워 지하31호,02-990-4343,백반,5000,,8:00~21:00,N,Y
이미용업,신진미용실,박희옥,서울,강북구,한천로 1104,02-993-3337,커트,6000,,8:00~20:00,N,N
한식,두부마을,김은숙,서울,강북구,오현로31길 109,02-988-8464,된장찌개,7000,,09:30~21:30,N,Y
목욕업,아쿠아산소사우나,박용하,서울,강북구,한천로 1131,02-991-6388,목욕료,4500,,24시간,N,Y
기타양식,카페스타,오정희,서울,강북구,"삼각산로 71, 1층",,원두커피,2500,,8:00~21:00,Y,Y
이미용업,착한이발,전의구,서울,강북구,"도봉로 371, 지층",,커트,7000,,24시간,N,Y
이미용업,차순옥미용실,차순옥,서울,강서구,허준로 176 8단지상가 107호,02-2658-6478,커트,7000,,09:00~20:00,,Y
한식,왕세숫대야냉면(행복을파는집),장경아,서울,강서구,공항대로 423,02-2668-3608,냉면,3500,,24시간,N,N
한식,백미식당,권영애,서울,강서구,공항대로 59가길 25,02-3662-9288,김치찌개,5000,,09:00~21:00,Y,N
한식,춘천숯불갈비,김정호,서울,강서구,등촌로 39길 14,02-2652-9961,삼겹살(200g),12000,,11:00~22:00,N,Y
이미용업,보아스 헤어아트,이은주,서울,강서구,등촌로 39길 7,02-2647-2080,커트,10000,,10:00~21:00,,N
한식,부부칼국수,김명기,서울,강서구,강서로 56가길 47,02-3662-4594,칼국수,6000,,09:00~21:00,Y,Y
기타서비스업,썬스튜디오,심상일,서울,강서구,공항대로 36길 129,02-2666-5828,촬영료,9000,,09:00~21:00,N,N
이미용업,헤어뱅크,강명순,서울,강서구,곰달래로 49길 11,02-2604-7080,커트,10000,,09;00~21:00,,Y
이미용업,아산남성컷전문,이한철,서울,강서구,강서로 207,,이용료(학생),7000,,09:00~20:30,,Y
이미용업,태양이용원,김종남,서울,강서구,화곡로 194,02-2604-4220,이용료,10000,,09:00~21:00,,N
한식,김밥나라,차성문,서울,강서구,양천로 59길 46,02-3664-8327,김밥,1300,,24시간,N,Y
한식,김밥천국,송기정,서울,강서구,가로공원로 76길 61,02-2692-5955,김밥,2000,,09:00~21:00,N,N
세탁업,짱구세탁소,박원현,서울,강서구,강서로 45라길 70,02-2661-5994,세탁료,6000,,09:00~22:00,Y,Y
목욕업,정수 대중목욕탕,이정행,서울,강서구,화곡로 44나길 65,02-2699-4330,목욕료,5000,,06:00~21:00,,Y
이미용업,21세기이발,이갑용,서울,강서구,강서로17길나길 2,02-2601-7745, 이용료(성인) ,6000,,09:00~21:00,,Y
한식,대승식당,한동인,서울,강서구,강서로74길40,02-2658-5646,된장찌개,5500,,09:00~20:00,Y,N
한식,석기시대,성종영,서울,강서구,공항대로7길28,02-2663-0173,삼겹살(200g),11000,,11:30~23:00,N,Y
한식,시골칼국수,이채영,서울,강서구,방화대로7나길45,02-2666-5477,칼국수,5000,,10:00~21:00,N,Y
이미용업,진흥,노인상,서울,강서구,강서로7길20,02-2698-5757, 이용료(성인) ,6000,,10:00~20:30,N,N
이미용업,21C헤어미넷,마희숙,서울,강서구,곰달래로19길45 1층,02-2607-0194,파마,20000,,09:00~21:00,,Y
이미용업,새로본미용실,정예순,서울,강서구,개화동로27길33,02-2661-9496,파마,18000,,09:00~21:00,,Y
한식,메밀이랑 면이랑,이영승,서울,강서구,강서로263-17,02-2691-8585,자장면,5000,,10:00~22:00,N,N
한식,송주불냉면,임영옥,서울,강서구,방화동로 49,02-2662-5509,냉면,3500,,11:00~22:00,N,Y
한식,함흥냉면 명가,김광주,서울,강서구,화곡로 50길 22,02-2691-2230,물냉면,3000,,09:00~22:00,N,N
이미용업,머리못하는 집,김두영,서울,강서구,강서로 45길 174,02-2667-3693,미용료(파마),14500,,10:00~21:00,N,N
한식,옛날칼국수,이종남,서울,강서구,강서로 18길 8-14,,칼국수,3500,,09:00~21:30,N,N
중식,중화요리명가,장만호,서울,강서구,화곡로61길 100 청석빌딩102호,02-2658-1959,자장면,3000,,,,
이미용업,그린미용실,박영임,서울,강서구,월정로 30길 47,02-2697-6254,미용료(커트),7000,,,N,N
이미용업,복음미용실,남명옥,서울,강서구,공항대로65길 51,02-3664-2822,미용료(커트),5000,,,N,N
한식,문가네식당,문동희,서울,강서구,화곡로 61길 64,02-3661-0094,김치찌개,6000,,,N,N
한식,고시칼국수,장선영,서울,관악구,신림로18가길42,070-7803-0001,칼국수,3500,,10:00~오후10:00,N,Y
한식,국수회관,김혜진,서울,관악구,신림로277(서원동),,칼국수,3500,,10:00~오후10:00,N,Y
이미용업,금성이발관,박남수,서울,관악구,난곡로34가길2,02-851-5639,이용료(커트),7000,,07:00~21:00,,N
한식,김밥분식,박인수,서울,관악구,관악로24길47-1,02-889-5230,김밥,1000,,오전8:00~오후9:00,N,N
이미용업,김소선 헤어아트,김소선,서울,관악구,행운1길 14,02-887-9261,파마,20000,,10:00~오후10:00,N,N
한식,남도음식전문점,김유진,서울,관악구,관악로28길7,02-884-5458,추어탕,5000,,10:00~오후10:00,N,Y
이미용업,노랑머리미용실,이경임,서울,관악구,남부순환로 145길 11,02-864-6196,커트,8000,,09:30~19:00,,N
한식,다리목,강유성,서울,관악구,신림로58가길 7(신림동),02-877-4369,김치찌개,5500,,10:00~22:00,N,Y
한식,다사랑분식,김봉선,서울,관악구,난우길18(신림동),02-852-5010,김밥,1000,,08:00~21:00,N,N
한식,다정이모네,이기숙,서울,관악구,신원로 3(신원동),02-865-0218,비빔밥,5000,,10:00~22:00,N,Y
이미용업,덕성이발관,윤병덕,서울,관악구,장군봉2길 11,,이용료(커트),7000,,07:00~21:00,,N
한식,만나칼국수,김미영,서울,관악구,"봉천로7길23(봉천동,주흥빌딩)",02-888-8564,칼국수,5000,,11:00~20:00,N,Y
중식,만리향,이동산,서울,관악구,은천로41길20(봉천동),02-885-5077,짬뽕,5000,,11:30~21:00,Y,Y
세탁업,모아그린세탁소,이경자,서울,관악구,신림로275-1,02-865-2484,세탁료(양복1벌),4000,,10:00~오후10:00,N,N
한식,목우촌프로포크,배순임,서울,관악구,남현1길68-10,02-588-7399, 생삼겹살(200g) ,10000,,10:00~23:30,N,Y
기타서비스업,미림17분칼라,유철호,서울,관악구,호암로26길1,02-871-7070,인화료,200,,09:30~21:30,,N
한식,박리분식,이영분,서울,관악구,쑥고개로97,02-871-5214,김밥,2000,,06:00~22:00,Y,Y
세탁업,빨리셀프크리닝,김종운,서울,관악구,신림로224(신림동),02-872-8253,세탁료(양복1벌),3900,,09:00~21:00,N,N
이미용업,설인자헤어뱅크,설인자,서울,관악구,신림로36길10,02-882-9334,커트,7000,,09:30~18:00,,N
한식,송림정,권복순,서울,관악구,은천로36(봉천동),02-878-7777,삼겹살(200g),10000,,09:00~21:00,N,N
한식,수제비손칼국수,허금순,서울,관악구,인헌4길3(봉천동),02-876-2517,칼국수,4000,,09:00~21:00,N,N
중식,신왕짜장,변재영,서울,관악구,난곡로105,02-839-9989,자장면,3500,,10:30~21:00,N,N
한식,어메칼국수,임미자,서울,관악구,"관악로154-6, 2층",02-874-9878,칼국수,6000,,10:00~오후10:00,Y,N
한식,얼큰수제비해물칼국수,안칠선,서울,관악구,관악로113,02-888-0712,해물칼국수,6000,,10:00~오후9:00,N,Y
이미용업,에스터미용실,박금애,서울,관악구,난곡로245,02-852-6657,커트,6000,,,,
이미용업,열린미용실,이기남,서울,관악구,난곡로40길16,,커트,5000,,,,
한식,왕세숫대야냉면,이복한,서울,관악구,쑥고개로122,02-877-6209,비빔밥,4500,,10:00~오후10:00,N,Y
한식,요기정국수,손보라,서울,관악구,쑥고개로126,02-883-8294, 멸치국수 ,4000,,11:00~오후9:00,N,N
한식,우리가참순대,이형진,서울,관악구,관악로 148,02-883-1063,순대국,6000,,10:00~23:00,N,N
이미용업,원이발소,홍창준,서울,관악구,청룡8길77,02-882-6191,이용료(커트),5000,,07:00~20:00,,N
한식,원조정가네매운갈비찜,손춘매,서울,관악구,남부순환로216길8,02-883-0250,설렁탕,7000,,24시간,N,Y
한식,유창숯불갈비,장순애,서울,관악구,"은천로23길14(봉천동,유창빌)",02-883-5759,삼겹살(200g),9000,,10:00~22:30,N,Y
이미용업,재경헤어라인,한상엽,서울,관악구,봉천로13길7,02-889-8241,커트,8000,,09:00~22:00,,Y
한식,재희분식,김영배,서울,관악구,당곡2길14,02-877-5949,김치찌개,5000,,09:00~21:00,Y,N
이미용업,정미용실,김영찬,서울,관악구,약수암길 3,02-867-5676,파마,15000,,연중무휴(11:00~20:00),N,N
한식,제주토종흑돼지,민경순,서울,관악구,남현1길68-14(남현동),02-583-9250,제주토종흑돼지 전지(180g),12000,,10:30~24:00,N,Y
한식,중앙삼겹시대,장미영,서울,관악구,중앙길12 (중앙동),02-875-9998,된장찌개,5000,,10:00~22:00,Y,N
